,PEPE,BTC_lag1,ETH_lag1,SOL_lag1,DOGE_lag1,SHIB_lag1,PEPE_lag1,PEPE_lag2,PEPE_lag3,PEPE_lag5,PEPE_momentum_7d_lag1,PEPE_momentum_14d_lag1,PEPE_volatility_7d_lag1,PEPE_volatility_14d_lag1,PEPE_volume_from_change_lag1,PEPE_range_lag1,BTC_volatility_14d_lag1,BTC_range_lag1,BTC_funding_rate_sum_lag1,BTC_DVOL_change_lag1,M2_30d_change_lag1,SOFR_change_lag1,DFF_change_lag1,US_10Y_change_lag1,VIX_change_lag1,High_yield_spread_change_lag1,Dollar_index_change_lag1,QQQ_lag1,SPY_lag1,GLD_lag1,SLV_lag1,PEPE_SMA12,PEPE_SMA26,PEPE_RSI_14d_lag1,PEPE_BB_percent_b_20d_lag1
BTC_range_lag1,0.03424815854200209,-0.015304014561992036,-0.08222656932989834,-0.03633657513496175,-0.06778614824966836,-0.05353129707079771,0.0051533213245899545,-0.07119335353610004,0.019651334310391906,-0.00447992039958277,-0.04501304420309818,-0.01025396744587321,0.3000024433128873,0.2684876408196372,0.27403549762550955,0.5895963163144569,0.41044558460019853,1.0,0.1536779399592096,0.20156976105893942,0.14307820946010724,-0.0468194306518642,-0.01949595907003446,-0.05718965109575141,0.07154033115485423,0.08842187500309363,0.024411108504691543,-0.06345750439845346,-0.04695008407402235,-0.01071910726056616,-0.04465124615376056,-0.027129456863529147,0.04708818540260096,-0.061248318740353906,-0.09619013224355931
BTC_funding_rate_sum_lag1,0.09805909612718781,0.009266342109013318,0.011157352046580846,0.03081195245507484,0.055498532976940344,0.10090189396910065,0.0943943087739182,0.14894107641542095,0.16308073490927766,0.1929526569336612,0.3884243810228603,0.4859153655156516,0.41570995432306534,0.4883083844102738,0.03045810680864191,0.4108981871738594,0.12729323807909654,0.1536779399592096,1.0,0.05107910068684437,-0.04008564811304941,0.01796476463353604,0.007241219085227484,0.006207997180788321,0.028223167646665406,0.016631325015740446,0.04587872295004611,-0.03132752936798151,-0.01614672662734354,0.01117467904811347,-0.004841260390598147,0.46482348622361225,0.5683047978205423,0.28002594434637595,0.20788651984942713
BTC_DVOL_change_lag1,0.04683631949366496,-0.16207119905872744,-0.2056879195768737,-0.13102900399015627,-0.12356677554669877,-0.13710336384198507,-0.0736189886910947,5.64093775037352e-05,0.001469928100620454,0.005246360636260922,0.002662100925758018,0.016359688413725385,0.02144851904915817,0.021310107216058295,0.12163239092163997,0.133013316693353,-0.021123314200827213,0.20156976105893942,0.05107910068684437,1.0,0.008912718856386182,-0.008194695053094878,0.018139300248358567,-0.08517601583414733,0.26371240058317913,0.1745403420555552,0.018014548093432118,-0.22806577695322267,-0.22332465263169632,-0.07826790584772142,-0.16091783307268964,0.011994063193513912,0.009619776109012913,-0.012809483449059657,-0.030832498151570083
M2_30d_change_lag1,0.02123280877140283,0.012334776396895295,0.018780665614808626,-0.0023367555269351342,0.04724961158313045,0.024034134191389202,0.02469124522268862,0.0066600309693389155,0.014792591465430603,0.003716156404692835,0.02222546570106874,0.028084874881173765,0.017501500735254253,0.037257958791270515,-0.004891482825387596,-0.011833990074684284,0.2708750105267746,0.14307820946010724,-0.04008564811304941,0.008912718856386182,1.0,-0.06462798731349026,-0.050935369446673505,-0.056464737169786255,-0.005906369834655021,0.005441875221180078,-0.01366205633186442,0.0029540672714064805,0.01378290415040272,0.04023887474157547,0.02363151864401965,0.02150820218181408,0.010246274334022382,0.03706334454009267,0.008645011657087231
SOFR_change_lag1,0.02103822715792857,-0.04084735403551886,-0.02071904619130253,-0.04174697414354579,-0.041559691835105765,-0.0392197913213277,-0.026313674398118818,0.019689145740875946,0.009095286637446335,0.014913417598364391,-0.010135306469189847,-0.026123653252638837,-0.0016128267909259167,0.007855605194723695,-0.031600629786973485,-0.018034315553465248,-0.0007976853485286635,-0.0468194306518642,0.01796476463353604,-0.008194695053094878,-0.06462798731349026,1.0,0.7095665119951604,-0.018406331388431497,0.031439655124965354,-0.02068703073172394,-0.002936393618573809,0.01486988965811887,0.021013040407829475,-0.04954468136467437,-0.05414905637403125,-0.023282348710187098,0.014695372388913764,-0.05291568054752771,-0.04456116920806529
DFF_change_lag1,-0.008055615983039563,-0.00679340717737054,0.0010717681863601028,-0.00959775260608959,0.029570186885701514,0.020871292934771378,0.019619651814690824,0.005577726395818772,-0.031445744324985064,0.02156163803517049,-0.002638448502289421,-0.01553699612157929,0.009566720772216366,0.021805885305155346,-0.048720292653206314,-0.0005815133800150786,-0.0016395617042990398,-0.01949595907003446,0.007241219085227484,0.018139300248358567,-0.050935369446673505,0.7095665119951604,1.0,-0.010526247181075485,0.07886391913277604,0.0009090861360852422,-0.05383840538367561,-0.03264722866979109,-0.04538441156867232,-0.05593919540549347,-0.04775428503656537,-0.01307796457304231,0.0196353366531816,-0.04644346949223857,-0.036402843312444026
US_10Y_change_lag1,0.03134175628792872,0.02726110487600025,0.01359876521344758,0.016567245276239543,0.022525316346335412,-0.00712431657024273,0.029762835235991582,-0.020604336963477046,-0.01465078527323224,0.012989637008951073,0.016059783242614596,0.00037108147502929226,0.013010614256041582,-0.018688985088117876,0.0013599381778319837,-0.010501395193362704,-0.028347296887345347,-0.05718965109575141,0.006207997180788321,-0.08517601583414733,-0.056464737169786255,-0.018406331388431497,-0.010526247181075485,1.0,0.006441824070130376,-0.22798509338810358,0.3413556082289822,-0.025731260622298788,-0.06038407741237574,-0.1858072266458526,-0.09135274968788641,0.005320050796927215,-0.028164855701280363,0.00815896423111425,0.023435669448845575
VIX_change_lag1,0.007161002936675869,-0.32497074463418935,-0.3580599742198194,-0.28259449984854845,-0.2725367091801273,-0.21743682331700886,-0.2517110215059842,-0.026867271578521087,0.005015890929253653,0.048934225455213774,-0.07034077805226836,-0.022792138955268406,-0.01797371996262135,-0.026094795734113933,0.06235027612214125,0.08604727833732838,-0.04612330852379338,0.07154033115485423,0.028223167646665406,0.26371240058317913,-0.005906369834655021,0.031439655124965354,0.07886391913277604,0.006441824070130376,1.0,0.5420162760850806,0.16907732520688298,-0.7553359161035432,-0.7965261214293158,-0.08764410558358293,-0.187252709751512,-0.03182023023116894,-0.0354633585240384,-0.04728231422792538,-0.11696942069430792
High_yield_spread_change_lag1,0.012209135698474457,-0.21823675490408972,-0.25236377730552806,-0.20051480778962621,-0.1897978872071014,-0.15012919604304467,-0.15644396495998,-0.07278213410852435,4.137494299230626e-05,0.0002491729913684331,-0.07985751774125086,-0.06550901238227444,-0.032675501459696096,-0.02994200960305214,0.03676740636356126,0.07393269116991645,-0.03623386743063185,0.08842187500309363,0.016631325015740446,0.1745403420555552,0.005441875221180078,-0.02068703073172394,0.0009090861360852422,-0.22798509338810358,0.5420162760850806,1.0,0.17547188781590373,-0.5745932974919061,-0.6168852734427175,0.011828665270732164,-0.1317965545490588,-0.07635241052429317,-0.05198809085920393,-0.07542676702568475,-0.12900943351600788
Dollar_index_change_lag1,0.05160571977676235,-0.08138233978485918,-0.09486399546087873,-0.08300304297371495,-0.06176867258479241,-0.09376689644413691,-0.06954532922875513,-0.027646149907657416,0.024442360107375313,0.0033067334669010994,-0.006484743527920568,-0.0010554367581237939,-0.025453109435637642,-0.02554561213965286,0.04977722777957277,0.06223371967620319,-0.05993180851499947,0.024411108504691543,0.04587872295004611,0.018014548093432118,-0.01366205633186442,-0.002936393618573809,-0.05383840538367561,0.3413556082289822,0.16907732520688298,0.17547188781590373,1.0,-0.18180743054071494,-0.18601450477439982,-0.3578109699524845,-0.3289863612928564,-0.008173508130757748,-0.025994023986826615,0.0072713444440841895,-0.02076801870275376
QQQ_lag1,-0.03448689486793855,0.3203611060972403,0.3656931974538882,0.2905696530282028,0.2680818133077941,0.2169873045144833,0.20943368270948318,0.012720992073344184,0.00215288687589736,-0.03549162758414409,0.07547228260115313,0.044002611875405134,0.00777648643551415,-0.014425432186090036,-0.007267505018900453,-0.08604366558147145,0.003671083506430646,-0.06345750439845346,-0.03132752936798151,-0.22806577695322267,0.0029540672714064805,0.01486988965811887,-0.03264722866979109,-0.025731260622298788,-0.7553359161035432,-0.5745932974919061,-0.18180743054071494,1.0,0.9523478156452053,0.14106403149595456,0.2513253854459825,0.050332792724400104,0.0713440823440875,0.08392158878127573,0.14387415413207874
SPY_lag1,-0.039394341267961236,0.3236345091165411,0.3678765852432992,0.2911536084990704,0.27126389197815054,0.21880391578551395,0.21282109997186027,0.01258078371381945,-0.003235572380863123,-0.03165531534806592,0.07658349904891423,0.05159509232100981,0.011745099682919894,0.0035453249740911357,-0.00541605480870502,-0.07801600269401338,0.013871129937436817,-0.04695008407402235,-0.01614672662734354,-0.22332465263169632,0.01378290415040272,0.021013040407829475,-0.04538441156867232,-0.06038407741237574,-0.7965261214293158,-0.6168852734427175,-0.18601450477439982,0.9523478156452053,1.0,0.14563049179858467,0.24792236410209684,0.05981322625635073,0.07324800070959639,0.07937805322768583,0.13445331293955942
GLD_lag1,-0.008808780763626721,0.08119960614187521,0.07276512764689673,0.03955357366561176,0.0537877554998258,0.06916809578999294,0.02440584059559648,-0.003095872591956726,0.014220521887723377,-0.03795856103521149,-0.017186987912637057,-0.00015556940146989348,0.0212618215669917,0.0261186559896204,-0.024886722723166575,-0.022718937803209074,0.04646757927638306,-0.01071910726056616,0.01117467904811347,-0.07826790584772142,0.04023887474157547,-0.04954468136467437,-0.05593919540549347,-0.1858072266458526,-0.08764410558358293,0.011828665270732164,-0.3578109699524845,0.14106403149595456,0.14563049179858467,1.0,0.7750782387393608,-0.003667052145187578,0.029814931776465572,-0.018922162479869033,-0.030567917193509393
SLV_lag1,-0.04359119457411152,0.14027354660899577,0.14362094250829338,0.10920130569604489,0.10437176597662022,0.10526778744150411,0.0669408637830458,0.006187650880769371,0.010472955520827493,-0.036967365918739274,0.01999136106167711,0.03773018387324583,0.0010869176477114452,0.005352683847215256,-0.01825975866708475,-0.045083653580847004,-0.002167073860998089,-0.04465124615376056,-0.004841260390598147,-0.16091783307268964,0.02363151864401965,-0.05414905637403125,-0.04775428503656537,-0.09135274968788641,-0.187252709751512,-0.1317965545490588,-0.3289863612928564,0.2513253854459825,0.24792236410209684,0.7750782387393608,1.0,0.03059188467427328,0.05407995784724139,0.045986760790068755,0.036293541494130624
PEPE_SMA12,0.0708200002255762,0.19337112321095773,0.19901939112630607,0.20345614472414517,0.2200427091534992,0.23822537791586412,0.3224216950863435,0.3342387833949522,0.3377168923591859,0.3463039398323412,0.8137841085470354,0.9466692508509997,0.420628077053313,0.47926934613426114,0.006843640393504539,0.30381723667700045,0.08993512799071804,-0.027129456863529147,0.46482348622361225,0.011994063193513912,0.02150820218181408,-0.023282348710187098,-0.01307796457304231,0.005320050796927215,-0.03182023023116894,-0.07635241052429317,-0.008173508130757748,0.050332792724400104,0.05981322625635073,-0.003667052145187578,0.03059188467427328,1.0,0.6921315559566782,0.816589865851337,0.7721784863704126
PEPE_SMA26,0.05372913733325614,0.1312398964421096,0.1362108947911177,0.17516560521928545,0.1638387808213652,0.16787540735585765,0.2098024967908548,0.20908282797028452,0.21066073587377188,0.21888531599214617,0.5251360173660486,0.7489460387264575,0.3980244962352853,0.5133829103086708,-0.004205605395981903,0.314984228757216,0.12057322335228778,0.04708818540260096,0.5683047978205423,0.009619776109012913,0.010246274334022382,0.014695372388913764,0.0196353366531816,-0.028164855701280363,-0.0354633585240384,-0.05198809085920393,-0.025994023986826615,0.0713440823440875,0.07324800070959639,0.029814931776465572,0.05407995784724139,0.6921315559566782,1.0,0.6095253325670831,0.5547633907747768
PEPE_RSI_14d_lag1,0.04185332074294516,0.17590724232709443,0.19763232218157156,0.19657915043920954,0.20979363952864555,0.1843083752044623,0.28344812511508155,0.2917215150364765,0.30362462257516915,0.2764971182380239,0.683495066585908,0.8636709580788267,0.26246148584828705,0.3217586364578045,0.018035754286433663,0.20474393830640222,-0.004922832159102372,-0.061248318740353906,0.28002594434637595,-0.012809483449059657,0.03706334454009267,-0.05291568054752771,-0.04644346949223857,0.00815896423111425,-0.04728231422792538,-0.07542676702568475,0.0072713444440841895,0.08392158878127573,0.07937805322768583,-0.018922162479869033,0.045986760790068755,0.816589865851337,0.6095253325670831,1.0,0.8742141695006065
PEPE_BB_percent_b_20d_lag1,0.07503008536152402,0.3174743566460682,0.352085710700565,0.3239769634990724,0.3512467100443974,0.3218965924633674,0.46673579921856906,0.40257828081308983,0.35213659665391894,0.2650267207878623,0.7743432040976718,0.7467741790987528,0.21626090873384418,0.2221054835555407,0.055327231668431176,0.17104945429109578,-0.014220996559668641,-0.09619013224355931,0.20788651984942713,-0.030832498151570083,0.008645011657087231,-0.04456116920806529,-0.036402843312444026,0.023435669448845575,-0.11696942069430792,-0.12900943351600788,-0.02076801870275376,0.14387415413207874,0.13445331293955942,-0.030567917193509393,0.036293541494130624,0.7721784863704126,0.5547633907747768,0.8742141695006065,1.0
