,PEPE,BTC,ETH,SOL,DOGE,SHIB,PEPE_lag1,PEPE_lag2,PEPE_lag3,PEPE_lag5,PEPE_momentum_7d_lag1,PEPE_momentum_14d_lag1,PEPE_volatility_7d_lag1,PEPE_volatility_14d_lag1,PEPE_volume_from_change_lag1,PEPE_range_lag1,BTC_volatility_14d_lag1,BTC_range_lag1,BTC_funding_rate_sum_lag1,BTC_DVOL_change,M2_30d_change,SOFR_change,DFF_change,US_10Y_change,VIX_change,High_yield_spread_change,Dollar_index_change,QQQ,SPY,GLD,SLV,PEPE_SMA12,PEPE_SMA26,PEPE_RSI_14d_lag1,PEPE_BB_percent_b_20d_lag1
PEPE_volatility_14d_lag1,0.06829647138995021,0.011301598947234698,0.003822717438386207,0.04752820059186376,0.026097494161629434,0.06512149664614694,0.11734302295065421,0.13888119423176848,0.15911390611118992,0.16463750125112256,0.3599527576743325,0.5156217603017725,0.788857452620759,1.0,-0.02599142401443539,0.5258578168616657,0.5555832024568182,0.2684876408196372,0.4883083844102738,-0.012935203262499122,0.03814632407190122,0.0157472843224199,0.028418279803415564,-0.023692500197987295,-0.028383933835295257,-0.03935645158792046,-0.03234321878714079,-0.01300660590411808,0.0065154940218099845,0.03158683844146843,0.017509180153403192,0.47926934613426114,0.5133829103086708,0.3217586364578045,0.2221054835555407
PEPE_volume_from_change_lag1,0.009779807555611305,-0.0008527131436953854,-0.02094017670694827,-0.006094363584675009,0.02556742111237343,0.011961742838018697,0.15677791905015653,-0.027952001157703545,0.033413963880123,-0.051869785448914345,0.014678633530830638,0.003539704373559891,-0.030673207149235715,-0.02599142401443539,1.0,0.31711260448771905,-0.02689555981053784,0.27403549762550955,0.03045810680864191,-0.057725837867110566,-0.0007271428960249158,-0.030640405213392775,0.013847742681601244,-0.0038741519242522374,0.012985339943641027,0.018501675226526782,-0.0025740108260880294,-0.04253539916468579,-0.03601163157440337,0.006852653475616936,0.0071124444537095195,0.006843640393504539,-0.004205605395981903,0.018035754286433663,0.055327231668431176
PEPE_range_lag1,0.0958919506346006,0.011100134742989837,0.0013447196111373827,0.03657410399426163,0.047808010355533254,0.10589277256280953,0.11581554219482876,0.13219832967295825,0.1693712126680885,0.13193889258580624,0.2862718133897919,0.30503489523283245,0.5743773170877533,0.5258578168616657,0.31711260448771905,1.0,0.2645410231250084,0.5895963163144569,0.4108981871738594,-0.040310790694512266,-0.012113954575374862,-0.04783372650499398,0.016298549685440176,-0.02552798323877318,-0.04452643605518209,0.0007880274115627339,-0.028858061028403728,-0.018461836783281015,-0.014517887251018116,0.02090935531085779,0.0018516356240777321,0.30381723667700045,0.314984228757216,0.20474393830640222,0.17104945429109578
BTC_volatility_14d_lag1,0.033494060082701026,0.0031171967811488574,-0.01790226591433541,-0.005755653299742353,0.02872225406380044,0.025674382995469543,0.04449335175239356,0.045853060873209756,0.048941730420131634,0.04691790259456937,0.09406399607453736,0.0852606748809318,0.46554572267710864,0.5555832024568182,-0.02689555981053784,0.2645410231250084,1.0,0.41044558460019853,0.12729323807909654,-0.07634387766341369,0.2654380114083354,-0.0033315359705345035,-0.004147635467790873,-0.017621795095683693,-0.04624714502488487,-0.04439573725781396,-0.05114241258259836,-0.006392915738245716,0.0021966873613958582,0.042975190157522776,0.011547140509284974,0.08993512799071804,0.12057322335228778,-0.004922832159102372,-0.014220996559668641
BTC_range_lag1,0.03424815854200209,0.015267937667908371,0.0030768528150179287,0.038878069988561095,0.04638248071126995,0.05698588430135915,0.0051533213245899545,-0.07119335353610004,0.019651334310391906,-0.00447992039958277,-0.04501304420309818,-0.01025396744587321,0.3000024433128873,0.2684876408196372,0.27403549762550955,0.5895963163144569,0.41044558460019853,1.0,0.1536779399592096,-0.16839797226534578,0.15376047489357414,-0.06858124043805684,-0.017850644331151733,0.013604395719517931,-0.09151278235971207,-0.025819310003060918,-0.061334729171931744,-0.010335549283955543,-0.0050901125378351,0.011923301771705952,-0.024764012570707088,-0.027129456863529147,0.04708818540260096,-0.061248318740353906,-0.09619013224355931
BTC_funding_rate_sum_lag1,0.09805909612718781,0.010876772827239076,0.008562548382013466,0.0356624839294205,0.045796932754250806,0.07379246996600661,0.0943943087739182,0.14894107641542095,0.16308073490927766,0.1929526569336612,0.3884243810228603,0.4859153655156516,0.41570995432306534,0.4883083844102738,0.03045810680864191,0.4108981871738594,0.12729323807909654,0.1536779399592096,1.0,0.03537275639429538,-0.03967640534230348,0.0037066975293751523,0.012947956239512455,-0.01390755058522265,0.016951440095387002,0.016294202883968902,0.0335562947999301,-0.01591552569868136,-0.0006811335475240947,0.02397480976862414,0.0022184457281630736,0.46482348622361225,0.5683047978205423,0.28002594434637595,0.20788651984942713
BTC_DVOL_change,-0.07683536113337064,-0.16596877616497774,-0.20774579492192885,-0.13175920841012217,-0.12549915064861575,-0.1379850495304793,0.003819138293384226,0.002340898664280668,0.022398386887013007,0.03956978602049682,0.03186773072982357,0.03751589302673421,0.0047545898787520096,-0.012935203262499122,-0.057725837867110566,-0.040310790694512266,-0.07634387766341369,-0.16839797226534578,0.03537275639429538,1.0,0.011590296666088434,-0.00783885888751706,0.018074431169849775,-0.08555357616411279,0.2652697854191314,0.17469282262400088,0.01818132827554369,-0.22819549303086814,-0.2238657510205998,-0.07838565739758495,-0.1610400428403865,0.03648607485507017,0.017631581075735567,0.014236059007148881,0.009717164007813358
M2_30d_change,0.02806332369936417,0.015948713757276682,0.020449730455812706,-0.002006829811404016,0.04902667914329015,0.024631792999686722,0.0030645451381268334,0.014071131344926345,0.013890154624868102,-0.0070728248989751705,0.00986458227976716,0.022730745036694658,0.0178377453885355,0.03814632407190122,-0.0007271428960249158,-0.012113954575374862,0.2654380114083354,0.15376047489357414,-0.03967640534230348,0.011590296666088434,1.0,-0.06516614615641379,-0.05094698296944332,-0.056167463260221,-0.007306937978196251,0.005462432586628048,-0.01385508501483112,0.0028894069613363605,0.014216537030318754,0.0404028033570381,0.023653967125209178,0.016349164405217234,0.0020490612555416022,0.0349051764238499,0.0007786076748407011
SOFR_change,-0.025857422690065867,-0.040379629106176165,-0.02043497852161637,-0.041643071221903936,-0.041289124330959874,-0.03909664805190226,0.019093953994206093,0.008943867976178464,-0.007083439830218018,-0.012915897519469286,0.0006674491675245006,-0.02039460146509986,-4.709926532123336e-05,0.0157472843224199,-0.030640405213392775,-0.04783372650499398,-0.0033315359705345035,-0.06858124043805684,0.0037066975293751523,-0.00783885888751706,-0.06516614615641379,1.0,0.7096036918594598,-0.01835962986771104,0.03125012498395957,-0.020680839761539123,-0.00296123200721978,0.014848919591038472,0.02106235465594077,-0.04954231259142532,-0.054160781307652554,-0.020983789083262712,0.017023014484704068,-0.03528322119854853,-0.03177469362686363
DFF_change,0.01956016695893132,-0.006915326147584945,0.0010278394405107358,-0.009602180442011103,0.029541193304946065,0.020860007018539614,0.00569263766531191,-0.031432024578053656,-0.010983711597864735,0.013888926672787414,-0.010324076625877197,-0.006009353427381742,0.0191580623421073,0.028418279803415564,0.013847742681601244,0.016298549685440176,-0.004147635467790873,-0.017850644331151733,0.012947956239512455,0.018074431169849775,-0.05094698296944332,0.7096036918594598,1.0,-0.010537642134472445,0.07893266075236607,0.0009090861360852252,-0.053832941009625934,-0.032646403603122945,-0.045399624790658226,-0.05594452535585879,-0.047755336161500954,-0.023319863956415866,0.015318713127472731,-0.021770151765206136,-0.042900247863565256
