model,alpha,validation_month,train_rows,validation_rows,cv_r2
Ridge,100.0,2025-05,694,31,0.7932246925218741
Ridge,100.0,2025-06,725,30,0.8414316112230333
Ridge,100.0,2025-07,755,31,0.8351467914641415
Ridge,100.0,2025-08,786,31,0.7733481221125181
Ridge,100.0,2025-09,817,30,0.830813087336125
Ridge,100.0,2025-10,847,6,0.7837051714412551
Ridge,300.0,2023-08,55,31,0.35708898785483223
Ridge,300.0,2023-09,86,30,0.16315017640643092
Ridge,300.0,2023-10,116,31,0.3498734003223364
Ridge,300.0,2023-11,147,30,0.6785427860754534
Ridge,300.0,2023-12,177,31,0.5265547050852659
Ridge,300.0,2024-01,208,31,0.7816258837965753
Ridge,300.0,2024-02,239,29,0.3018857265524264
Ridge,300.0,2024-03,268,31,0.5413574396598246
Ridge,300.0,2024-04,299,30,0.6988327077019851
Ridge,300.0,2024-05,329,31,0.17482411927241115
Ridge,300.0,2024-06,360,30,0.366610995926844
Ridge,300.0,2024-07,390,31,0.6754227869406355
Ridge,300.0,2024-08,421,31,0.8911558790794675
Ridge,300.0,2024-09,452,30,0.8021971659435597
Ridge,300.0,2024-10,482,31,0.6592731624076307
Ridge,300.0,2024-11,513,30,0.18172350605812815
Ridge,300.0,2024-12,543,31,0.4685684103447949
Ridge,300.0,2025-01,574,31,0.6538069227981103
Ridge,300.0,2025-02,605,28,0.7446929391344876
Ridge,300.0,2025-03,633,31,0.6395295184678478
Ridge,300.0,2025-04,664,30,0.7938149662566518
Ridge,300.0,2025-05,694,31,0.7749799537071222
Ridge,300.0,2025-06,725,30,0.8288019934426603
Ridge,300.0,2025-07,755,31,0.8405782370033448
Ridge,300.0,2025-08,786,31,0.821884850680966
Ridge,300.0,2025-09,817,30,0.8497067963051541
Ridge,300.0,2025-10,847,6,0.8215703688780663
Ridge,1000.0,2023-08,55,31,0.17143683978039892
Ridge,1000.0,2023-09,86,30,0.10217270866595929
Ridge,1000.0,2023-10,116,31,0.18969180245431316
Ridge,1000.0,2023-11,147,30,0.501602506311494
Ridge,1000.0,2023-12,177,31,0.3586385802736456
Ridge,1000.0,2024-01,208,31,0.6170972318848206
Ridge,1000.0,2024-02,239,29,0.16228012548115422
Ridge,1000.0,2024-03,268,31,0.4273001852949655
Ridge,1000.0,2024-04,299,30,0.5650684989013559
Ridge,1000.0,2024-05,329,31,0.2098546115919533
Ridge,1000.0,2024-06,360,30,0.32240891410614725
Ridge,1000.0,2024-07,390,31,0.5916076124397898
Ridge,1000.0,2024-08,421,31,0.8069916892126467
Ridge,1000.0,2024-09,452,30,0.7506160711838443
Ridge,1000.0,2024-10,482,31,0.620036553960438
Ridge,1000.0,2024-11,513,30,0.23446899558931766
Ridge,1000.0,2024-12,543,31,0.47562787242244364
Ridge,1000.0,2025-01,574,31,0.5805666978917844
Ridge,1000.0,2025-02,605,28,0.6852722786426455
Ridge,1000.0,2025-03,633,31,0.6732941508811348
Ridge,1000.0,2025-04,664,30,0.8012152368668863
Ridge,1000.0,2025-05,694,31,0.6930552868124358
Ridge,1000.0,2025-06,725,30,0.7611679826609756
Ridge,1000.0,2025-07,755,31,0.7953086833938232
Ridge,1000.0,2025-08,786,31,0.8534416267995669
Ridge,1000.0,2025-09,817,30,0.8349503150238998
Ridge,1000.0,2025-10,847,6,0.8661491687966628
Ridge,3000.0,2023-08,55,31,0.032350605331391113
Ridge,3000.0,2023-09,86,30,0.042034140020529964
Ridge,3000.0,2023-10,116,31,0.06672018201784435
Ridge,3000.0,2023-11,147,30,0.2540328627515678
Ridge,3000.0,2023-12,177,31,0.1768508573180796
Ridge,3000.0,2024-01,208,31,0.3210826211212844
Ridge,3000.0,2024-02,239,29,0.012742888009606435
